# Time        	(total_x total_y total_z)	(pressure_x pressure_y pressure_z)	(viscous_x viscous_y viscous_z)
79            	(-3.968825e+01 1.659486e+03 3.925695e+03)	(-2.387463e+01 1.659666e+03 3.925958e+03)	(-1.581363e+01 -1.798214e-01 -2.637323e-01)
80            	(-3.965900e+01 1.659154e+03 3.925310e+03)	(-2.383903e+01 1.659333e+03 3.925580e+03)	(-1.581997e+01 -1.788997e-01 -2.695145e-01)
81            	(-3.964804e+01 1.658406e+03 3.923689e+03)	(-2.382361e+01 1.658584e+03 3.923965e+03)	(-1.582443e+01 -1.782198e-01 -2.756282e-01)
82            	(-3.984154e+01 1.657495e+03 3.922118e+03)	(-2.401469e+01 1.657672e+03 3.922400e+03)	(-1.582686e+01 -1.774741e-01 -2.819838e-01)
83            	(-3.983520e+01 1.657103e+03 3.921417e+03)	(-2.400592e+01 1.657279e+03 3.921705e+03)	(-1.582928e+01 -1.765496e-01 -2.879472e-01)
84            	(-3.950705e+01 1.657369e+03 3.925851e+03)	(-2.367768e+01 1.657545e+03 3.926146e+03)	(-1.582937e+01 -1.757006e-01 -2.947975e-01)
85            	(-3.965418e+01 1.658332e+03 3.927497e+03)	(-2.382286e+01 1.658507e+03 3.927800e+03)	(-1.583132e+01 -1.749168e-01 -3.025795e-01)
86            	(-3.969967e+01 1.656950e+03 3.925319e+03)	(-2.386605e+01 1.657124e+03 3.925628e+03)	(-1.583362e+01 -1.739876e-01 -3.097983e-01)
87            	(-3.973804e+01 1.656925e+03 3.925433e+03)	(-2.390361e+01 1.657098e+03 3.925750e+03)	(-1.583443e+01 -1.729339e-01 -3.170759e-01)
88            	(-3.975015e+01 1.656860e+03 3.925601e+03)	(-2.391593e+01 1.657032e+03 3.925925e+03)	(-1.583422e+01 -1.717218e-01 -3.245769e-01)
89            	(-3.974933e+01 1.656308e+03 3.924722e+03)	(-2.391649e+01 1.656478e+03 3.925054e+03)	(-1.583284e+01 -1.704558e-01 -3.320822e-01)
90            	(-3.974832e+01 1.656040e+03 3.925010e+03)	(-2.391899e+01 1.656209e+03 3.925349e+03)	(-1.582933e+01 -1.691615e-01 -3.394185e-01)
91            	(-3.974928e+01 1.655675e+03 3.924892e+03)	(-2.392159e+01 1.655842e+03 3.925238e+03)	(-1.582769e+01 -1.674129e-01 -3.458248e-01)
92            	(-3.972166e+01 1.655712e+03 3.924480e+03)	(-2.389369e+01 1.655877e+03 3.924834e+03)	(-1.582797e+01 -1.650521e-01 -3.532242e-01)
93            	(-3.977320e+01 1.655808e+03 3.925741e+03)	(-2.394695e+01 1.655970e+03 3.926103e+03)	(-1.582624e+01 -1.626158e-01 -3.612071e-01)
94            	(-3.975798e+01 1.655063e+03 3.923644e+03)	(-2.393330e+01 1.655223e+03 3.924013e+03)	(-1.582468e+01 -1.599292e-01 -3.688738e-01)
95            	(-3.965502e+01 1.652179e+03 3.918294e+03)	(-2.383170e+01 1.652337e+03 3.918666e+03)	(-1.582332e+01 -1.586837e-01 -3.717962e-01)
96            	(-3.973342e+01 1.652555e+03 3.919432e+03)	(-2.391273e+01 1.652712e+03 3.919808e+03)	(-1.582069e+01 -1.574512e-01 -3.759651e-01)
97            	(-3.981705e+01 1.652215e+03 3.918384e+03)	(-2.399853e+01 1.652371e+03 3.918763e+03)	(-1.581852e+01 -1.563253e-01 -3.792680e-01)
98            	(-3.984674e+01 1.652031e+03 3.918271e+03)	(-2.403075e+01 1.652186e+03 3.918653e+03)	(-1.581599e+01 -1.552468e-01 -3.828183e-01)
99            	(-3.985420e+01 1.651822e+03 3.918002e+03)	(-2.404109e+01 1.651976e+03 3.918388e+03)	(-1.581311e+01 -1.541883e-01 -3.864854e-01)
100           	(-3.983127e+01 1.651693e+03 3.918100e+03)	(-2.402146e+01 1.651846e+03 3.918490e+03)	(-1.580980e+01 -1.531028e-01 -3.902755e-01)
101           	(-3.980402e+01 1.651401e+03 3.917973e+03)	(-2.399802e+01 1.651553e+03 3.918367e+03)	(-1.580600e+01 -1.519593e-01 -3.941469e-01)
102           	(-3.982511e+01 1.651217e+03 3.917714e+03)	(-2.402347e+01 1.651367e+03 3.918112e+03)	(-1.580164e+01 -1.507419e-01 -3.981376e-01)
103           	(-3.988326e+01 1.650842e+03 3.917241e+03)	(-2.408653e+01 1.650992e+03 3.917643e+03)	(-1.579673e+01 -1.494143e-01 -4.022149e-01)
104           	(-3.988499e+01 1.650453e+03 3.916832e+03)	(-2.409382e+01 1.650601e+03 3.917239e+03)	(-1.579117e+01 -1.480763e-01 -4.063849e-01)
105           	(-3.971811e+01 1.650335e+03 3.917174e+03)	(-2.393233e+01 1.650482e+03 3.917585e+03)	(-1.578577e+01 -1.464080e-01 -4.103607e-01)
106           	(-3.979994e+01 1.650200e+03 3.916738e+03)	(-2.402012e+01 1.650345e+03 3.917152e+03)	(-1.577982e+01 -1.447773e-01 -4.144431e-01)
107           	(-3.976316e+01 1.649862e+03 3.916319e+03)	(-2.398980e+01 1.650006e+03 3.916738e+03)	(-1.577336e+01 -1.431803e-01 -4.186142e-01)
108           	(-3.974030e+01 1.649656e+03 3.916165e+03)	(-2.397398e+01 1.649798e+03 3.916588e+03)	(-1.576632e+01 -1.416380e-01 -4.228557e-01)
109           	(-3.963618e+01 1.649342e+03 3.916035e+03)	(-2.387715e+01 1.649482e+03 3.916462e+03)	(-1.575903e+01 -1.401059e-01 -4.271541e-01)
110           	(-3.954666e+01 1.648852e+03 3.915790e+03)	(-2.379545e+01 1.648991e+03 3.916221e+03)	(-1.575121e+01 -1.385282e-01 -4.314109e-01)
111           	(-3.945090e+01 1.648491e+03 3.915564e+03)	(-2.370752e+01 1.648628e+03 3.916000e+03)	(-1.574338e+01 -1.368856e-01 -4.355626e-01)
112           	(-3.952276e+01 1.648347e+03 3.915248e+03)	(-2.378777e+01 1.648482e+03 3.915688e+03)	(-1.573500e+01 -1.352246e-01 -4.397731e-01)
113           	(-3.950807e+01 1.647531e+03 3.914191e+03)	(-2.378223e+01 1.647665e+03 3.914635e+03)	(-1.572584e+01 -1.334971e-01 -4.441756e-01)
114           	(-3.940564e+01 1.647320e+03 3.914568e+03)	(-2.368876e+01 1.647451e+03 3.915017e+03)	(-1.571687e+01 -1.315856e-01 -4.485640e-01)
115           	(-3.927476e+01 1.647068e+03 3.915323e+03)	(-2.356716e+01 1.647197e+03 3.915776e+03)	(-1.570760e+01 -1.296326e-01 -4.528812e-01)
116           	(-3.919021e+01 1.647194e+03 3.915508e+03)	(-2.349176e+01 1.647321e+03 3.915966e+03)	(-1.569845e+01 -1.275282e-01 -4.575602e-01)
117           	(-3.920569e+01 1.647092e+03 3.915270e+03)	(-2.351757e+01 1.647217e+03 3.915733e+03)	(-1.568812e+01 -1.252659e-01 -4.625510e-01)
118           	(-3.863508e+01 1.645738e+03 3.913698e+03)	(-2.295621e+01 1.645861e+03 3.914166e+03)	(-1.567887e+01 -1.228237e-01 -4.673359e-01)
119           	(-3.867509e+01 1.646351e+03 3.913916e+03)	(-2.300747e+01 1.646471e+03 3.914389e+03)	(-1.566762e+01 -1.202767e-01 -4.726177e-01)
120           	(-3.879414e+01 1.645393e+03 3.912617e+03)	(-2.313715e+01 1.645510e+03 3.913095e+03)	(-1.565699e+01 -1.176737e-01 -4.773061e-01)
121           	(-3.859117e+01 1.645640e+03 3.913020e+03)	(-2.294631e+01 1.645755e+03 3.913502e+03)	(-1.564485e+01 -1.148877e-01 -4.824419e-01)
122           	(-3.898975e+01 1.645694e+03 3.912709e+03)	(-2.335389e+01 1.645807e+03 3.913194e+03)	(-1.563585e+01 -1.129146e-01 -4.846707e-01)
123           	(-3.889501e+01 1.645435e+03 3.912340e+03)	(-2.326894e+01 1.645547e+03 3.912828e+03)	(-1.562608e+01 -1.111864e-01 -4.877562e-01)
