#,alpha.water_initial,alpha.water_final,p_rgh_initial,p_rgh_final
2742,2.648340e-06,6.973820e-09,2.327970e-04,6.177640e-07
2743,2.648970e-06,6.987220e-09,2.323480e-04,6.164060e-07
2744,2.649700e-06,6.991480e-09,2.319170e-04,6.150100e-07
2745,2.650690e-06,6.995440e-09,2.320010e-04,6.547560e-07
2746,2.652240e-06,6.999390e-09,2.316960e-04,6.336740e-07
2747,2.654380e-06,7.007000e-09,2.311220e-04,6.267420e-07
2748,2.657340e-06,7.023190e-09,2.317100e-04,6.899740e-07
2749,2.662020e-06,7.047070e-09,2.306620e-04,6.258360e-07
2750,2.667940e-06,7.078230e-09,2.320740e-04,7.113830e-07
2751,2.675050e-06,7.109240e-09,2.320780e-04,7.006190e-07
2752,2.678420e-06,7.129800e-09,2.318380e-04,6.969100e-07
2753,2.683330e-06,7.149960e-09,2.321440e-04,7.181310e-07
2754,2.685410e-06,7.151570e-09,2.322570e-04,7.140410e-07
2755,2.688850e-06,7.157250e-09,2.320670e-04,7.176180e-07
2756,2.690080e-06,7.165240e-09,2.320980e-04,7.225560e-07
2757,2.693860e-06,7.210690e-09,2.324470e-04,7.415850e-07
2758,2.692580e-06,7.193990e-09,2.320590e-04,7.270460e-07
2759,2.695740e-06,7.212930e-09,2.320360e-04,7.267970e-07
2760,2.693850e-06,7.206010e-09,2.316400e-04,6.903920e-07
2761,2.695770e-06,7.227890e-09,2.317030e-04,6.979700e-07
2762,2.698620e-06,7.236400e-09,2.317610e-04,7.009420e-07
2763,2.699910e-06,7.213770e-09,2.313750e-04,6.755220e-07
2764,2.701180e-06,7.202470e-09,2.315090e-04,7.008760e-07
2765,2.698960e-06,7.203260e-09,2.311290e-04,7.055300e-07
2766,2.699710e-06,7.195550e-09,2.305790e-04,6.805840e-07
2767,2.696760e-06,7.174190e-09,2.305050e-04,6.993620e-07
2768,2.695480e-06,7.172180e-09,2.303940e-04,7.303820e-07
2769,2.692320e-06,7.131720e-09,2.295090e-04,7.031300e-07
2770,2.689770e-06,7.121390e-09,2.293940e-04,7.029320e-07
2771,2.686460e-06,7.078410e-09,2.289290e-04,7.019600e-07
2772,2.682860e-06,7.057670e-09,2.278640e-04,6.875590e-07
2773,2.680340e-06,7.025450e-09,2.276130e-04,7.120890e-07
2774,2.674890e-06,7.000260e-09,2.264280e-04,7.067150e-07
2775,2.673640e-06,6.972510e-09,2.251200e-04,6.809010e-07
2776,2.671920e-06,6.993240e-09,2.262760e-04,6.919320e-07
2777,2.673030e-06,7.071040e-09,2.314270e-04,7.149510e-07
2778,2.676400e-06,7.237680e-09,2.395560e-04,6.755460e-07
2779,2.681150e-06,7.445550e-09,2.521310e-04,7.041360e-07
2780,2.687130e-06,7.620920e-09,2.676220e-04,6.927460e-07
2781,2.690720e-06,7.871770e-09,2.681860e-04,7.177030e-07
2782,2.696850e-06,8.057860e-09,2.682930e-04,7.036460e-07
2783,2.709560e-06,8.427750e-09,2.678970e-04,7.195250e-07
2784,2.715930e-06,8.299590e-09,2.671430e-04,7.106010e-07
2785,2.715220e-06,7.774540e-09,2.589320e-04,6.659460e-07
2786,2.666990e-06,7.828210e-09,2.585210e-04,7.054370e-07
2787,2.662650e-06,8.020280e-09,2.578150e-04,6.523500e-07
2788,2.665150e-06,7.920230e-09,2.584860e-04,7.031340e-07
2789,2.676170e-06,8.025170e-09,2.583270e-04,6.781990e-07
2790,2.689770e-06,8.066750e-09,2.591460e-04,7.207890e-07
2791,2.700600e-06,8.170570e-09,2.584580e-04,7.000810e-07
2792,2.707010e-06,8.129390e-09,2.582700e-04,7.277580e-07
2793,2.720380e-06,8.212490e-09,2.570940e-04,7.274170e-07
2794,2.712240e-06,8.161930e-09,2.568560e-04,7.105530e-07
2795,2.731950e-06,8.258260e-09,2.547310e-04,6.699880e-07
2796,2.728470e-06,8.172310e-09,2.544900e-04,7.158140e-07
2797,2.738620e-06,8.058110e-09,2.526360e-04,6.599870e-07
2798,2.711970e-06,8.094360e-09,2.516270e-04,6.290870e-07
2799,2.718010e-06,8.082660e-09,2.511970e-04,6.388930e-07
2800,2.737710e-06,8.375440e-09,2.503680e-04,6.491590e-07
2801,2.748650e-06,7.750320e-09,2.477080e-04,6.096140e-07
2802,2.697550e-06,8.109930e-09,2.472630e-04,6.700830e-07
2803,2.693580e-06,7.952360e-09,2.463910e-04,6.702350e-07
2804,2.707770e-06,8.520520e-09,2.450610e-04,6.538160e-07
2805,2.721060e-06,8.375340e-09,2.443510e-04,6.416280e-07
2806,2.727710e-06,8.536110e-09,2.429700e-04,6.795880e-07
2807,2.724080e-06,8.312440e-09,2.417260e-04,6.574040e-07
2808,2.727370e-06,8.486640e-09,2.406120e-04,6.837250e-07
2809,2.724430e-06,8.308550e-09,2.396180e-04,6.590880e-07
2810,2.730600e-06,8.369360e-09,2.385030e-04,6.748240e-07
2811,2.723780e-06,8.227420e-09,2.369680e-04,6.350800e-07
2812,2.712710e-06,8.342720e-09,2.358200e-04,6.801050e-07
2813,2.716160e-06,8.079950e-09,2.338580e-04,6.421820e-07
2814,2.668250e-06,8.002870e-09,2.326850e-04,6.494040e-07
2815,2.658530e-06,8.001950e-09,2.322190e-04,6.326310e-07
2816,2.660620e-06,7.922710e-09,2.314900e-04,6.328530e-07
2817,2.664610e-06,7.899690e-09,2.309090e-04,6.551840e-07
2818,2.668980e-06,7.990170e-09,2.297530e-04,6.406230e-07
2819,2.675410e-06,8.130400e-09,2.294030e-04,6.531150e-07
2820,2.677260e-06,8.143460e-09,2.283580e-04,6.644890e-07
2821,2.675010e-06,8.249400e-09,2.285710e-04,6.916750e-07
2822,2.676040e-06,8.247630e-09,2.268060e-04,6.542760e-07
2823,2.674050e-06,8.321430e-09,2.262620e-04,6.861420e-07
2824,2.672900e-06,8.185900e-09,2.247010e-04,6.879170e-07
2825,2.660400e-06,8.117160e-09,2.240410e-04,6.961220e-07
2826,2.655760e-06,7.884280e-09,2.233300e-04,6.850590e-07
2827,2.651880e-06,7.846990e-09,2.226260e-04,6.785640e-07
2828,2.651830e-06,7.782650e-09,2.217330e-04,6.646500e-07
2829,2.647970e-06,7.662140e-09,2.207840e-04,6.308620e-07
2830,2.641970e-06,7.588260e-09,2.197630e-04,6.200360e-07
2831,2.635030e-06,7.487070e-09,2.188210e-04,6.060840e-07
2832,2.637270e-06,7.412700e-09,2.182130e-04,6.310710e-07
2833,2.632320e-06,7.406680e-09,2.173920e-04,6.341150e-07
2834,2.630710e-06,7.447260e-09,2.166750e-04,6.023280e-07
2835,2.623070e-06,7.398390e-09,2.160010e-04,6.029960e-07
2836,2.620760e-06,7.374710e-09,2.151910e-04,6.095670e-07
2837,2.614810e-06,7.244430e-09,2.126840e-04,6.128700e-07
2838,2.610510e-06,7.148550e-09,2.109070e-04,6.150490e-07
2839,2.604040e-06,7.064200e-09,2.089850e-04,6.139530e-07
2840,2.599540e-06,7.017290e-09,2.072880e-04,6.062110e-07
2841,2.593330e-06,6.985600e-09,2.055910e-04,6.134710e-07
2842,2.588370e-06,6.952980e-09,2.042850e-04,6.410940e-07
2843,2.582000e-06,6.929750e-09,2.023010e-04,5.927680e-07
2844,2.577230e-06,6.911870e-09,2.012920e-04,6.259070e-07
2845,2.570500e-06,6.856950e-09,1.999020e-04,6.340380e-07
